howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel
4,cpu,encrypt,600000,3622000.0,3622000.0,3626000.0,3664000.0,3624162.051282052,3614000.0,7.27,7.29,7.3025,7.35,7.292999999999999,7.27,1.0004115226337449
4,cpu,encrypt,700000,3855000.0,3855000.0,3858000.0,3885000.0,3857836.734693877,3847000.0,6.23,6.25,6.262499999999999,6.28,6.2508333333333335,6.23,0.8574531321444903
4,cpu,encrypt,800000,4034000.0,4038000.0,4042000.0,4064000.0,4039634.6938775512,4030000.0,5.4575,5.46,5.4725,5.5,5.4655,5.45,0.7497256515775035
4,cpu,encrypt,900000,4221000.0,4225000.0,4232000.0,4282000.0,4227382.502543235,4210000.0,4.85,4.86,4.87,4.89,4.859,4.84,0.6665294924554185
4,cpu,encrypt,1000000,4416000.0,4416000.0,4423000.0,4477000.0,4419654.822335025,4397000.0,4.36,4.37,4.38,4.41,4.3755,4.36,0.6002057613168724
4,cpu,encrypt,1100000,4606000.0,4610000.0,4618000.0,4652000.0,4613255.837563451,4595000.0,3.97,3.97,3.985,4.02,3.982,3.97,0.5462277091906722
4,cpu,encrypt,1200000,4809000.0,4816000.0,4820000.0,4855000.0,4816120.812182741,4793000.0,3.6375,3.645,3.65,3.69,3.6485,3.63,0.5004801097393691
4,cpu,encrypt,1300000,5011000.0,5019000.0,5023000.0,5064000.0,5019075.1269035535,4984000.0,3.36,3.36,3.3725,3.41,3.371,3.35,0.4624142661179699
4,cpu,encrypt,1400000,5225000.0,5232000.0,5244000.0,5282000.0,5234274.291497976,5202000.0,3.12,3.13,3.13,3.17,3.132,3.11,0.4296296296296297
4,cpu,encrypt,1500000,5427000.0,5435000.0,5439000.0,5477000.0,5434776.541961578,5397000.0,2.91,2.92,2.9325,2.97,2.9270000000000005,2.91,0.4015089163237312
