island,frequency,task,power,time
cpu,600000,decrypt,190620.87467250775,1.0
cpu,700000,decrypt,237548.54837200677,0.8573779484366431
cpu,800000,decrypt,274880.9083785201,0.7493143170597917
cpu,900000,decrypt,314217.0250457683,0.6662095447065278
cpu,1000000,decrypt,354464.4026516034,0.5987383433900164
cpu,1100000,decrypt,394791.6104963514,0.5452550740537575
cpu,1200000,decrypt,436704.39373047114,0.501371365880417
cpu,1300000,decrypt,479342.78467188525,0.461601755348327
cpu,1400000,decrypt,524234.3827735384,0.4284147010422381
cpu,1500000,decrypt,567868.833555302,0.4004388370817334
cpu,600000,encrypt,189305.71906541262,1.0
cpu,700000,encrypt,235775.24871043375,0.8559670781893005
cpu,800000,encrypt,272910.0215842309,0.7506172839506174
cpu,900000,encrypt,311588.0212411616,0.6666666666666666
cpu,1000000,encrypt,351084.57829268166,0.5997256515775036
cpu,1100000,encrypt,392063.6461518648,0.5459533607681757
cpu,1200000,encrypt,433228.7321502518,0.5006858710562415
cpu,1300000,encrypt,475454.4166869069,0.4628257887517147
cpu,1400000,encrypt,519499.4735561299,0.4290809327846364
cpu,1500000,encrypt,562574.5377948771,0.4010973936899863
cpu,600000,gzip-1,215295.83095380192,1.0
cpu,700000,gzip-1,266327.5240564484,0.8604651162790699
cpu,800000,gzip-1,307292.28389598255,0.7490668963537181
cpu,900000,gzip-1,350179.9493797554,0.6672408842951478
cpu,1000000,gzip-1,393317.3908515335,0.6000574217628482
cpu,1100000,gzip-1,433593.1671151243,0.5460809646856158
cpu,1200000,gzip-1,481858.64821889583,0.5007177720356016
cpu,1300000,gzip-1,528106.339228858,0.4628194085558427
cpu,1400000,gzip-1,574000.9488145135,0.4295147861039334
cpu,1500000,gzip-1,623029.086616071,0.4010910134941143
cpu,600000,gzip-5,220068.21239698355,1.0
cpu,700000,gzip-5,272340.5540864372,0.8559595029912563
cpu,800000,gzip-5,315112.93884796323,0.750759318913944
cpu,900000,gzip-5,359018.6557852888,0.6670961803957662
cpu,1000000,gzip-5,403433.1275516126,0.6011044638748274
cpu,1100000,gzip-5,449165.23960616364,0.5450529222273355
cpu,1200000,gzip-5,496249.5258916558,0.5005982512655315
cpu,1300000,gzip-5,543550.950874828,0.4619420156465715
cpu,1400000,gzip-5,593515.2131437681,0.4285319834330419
cpu,1500000,gzip-5,640187.383030774,0.4006442705936494
cpu,600000,gzip-9,220012.67142707307,1.0
cpu,700000,gzip-9,272626.2875241532,0.86070110701107
cpu,800000,gzip-9,315728.66880678834,0.7533210332103321
cpu,900000,gzip-9,358920.9589097891,0.6689114391143911
cpu,1000000,gzip-9,404373.61348833254,0.6011070110701107
cpu,1100000,gzip-9,449130.93055569776,0.5465867158671587
cpu,1200000,gzip-9,496536.0183735496,0.5025830258302584
cpu,1300000,gzip-9,543290.9817910348,0.4632841328413284
cpu,1400000,gzip-9,592829.0431431433,0.4292435424354243
cpu,1500000,gzip-9,641367.284989201,0.4007380073800738
cpu,600000,hash,220002.19691619722,1.0
cpu,700000,hash,272180.8300624195,0.8586776859504134
cpu,800000,hash,316536.3263165268,0.753719008264463
cpu,900000,hash,361686.5718273872,0.6699380165289257
cpu,1000000,hash,406266.6981279161,0.6049586776859505
cpu,1100000,hash,452581.0150205339,0.5508264462809918
cpu,1200000,hash,500277.2021941569,0.506611570247934
cpu,1300000,hash,549908.383450418,0.4673553719008265
cpu,1400000,hash,601072.78624636,0.4338842975206612
cpu,1500000,hash,651704.229314819,0.4074380165289256
cpu,600000,idle,2855955.0,0.0
cpu,700000,idle,2899018.796992481,0.0
cpu,800000,idle,2926002.506265664,0.0
cpu,900000,idle,2951370.481927711,0.0
cpu,1000000,idle,2978583.583583584,0.0
cpu,1100000,idle,3003434.2928660824,0.0
cpu,1200000,idle,3031055.165496489,0.0
cpu,1300000,idle,3057185.0,0.0
cpu,1400000,idle,3084576.0,0.0
cpu,1500000,idle,3110947.0,0.0
