howmany,island,frequency,task,power,time
1,cpu,600000,decrypt,3046575.874672508,1.0005828304991773
1,cpu,700000,decrypt,3136567.345364488,0.857835070396782
1,cpu,800000,decrypt,3200883.414644184,0.7514399341744378
1,cpu,900000,decrypt,3265587.5069734794,0.6675809105869447
1,cpu,1000000,decrypt,3333047.9862351874,0.6008639605046626
1,cpu,1100000,decrypt,3398225.903362434,0.5461464618760287
1,cpu,1200000,decrypt,3467759.5592269604,0.501371365880417
1,cpu,1300000,decrypt,3536527.7846718854,0.4630416895227647
1,cpu,1400000,decrypt,3608810.3827735386,0.4295803620405924
1,cpu,1500000,decrypt,3678815.833555302,0.4008502468458585
1,cpu,600000,encrypt,3045260.719065413,1.0004115226337449
1,cpu,700000,encrypt,3134794.0457029147,0.8574531321444903
1,cpu,800000,encrypt,3198912.527849895,0.7506172839506174
1,cpu,900000,encrypt,3262958.5031688726,0.6666666666666666
1,cpu,1000000,encrypt,3329668.161876266,0.6002057613168724
1,cpu,1100000,encrypt,3395497.9390179473,0.5462277091906722
1,cpu,1200000,encrypt,3464283.897646741,0.5006858710562415
1,cpu,1300000,encrypt,3532639.416686907,0.4628257887517147
1,cpu,1400000,encrypt,3604075.4735561297,0.4296296296296297
1,cpu,1500000,encrypt,3673521.537794877,0.4015089163237312
1,cpu,600000,gzip-1,3071250.830953802,1.054766006316394
1,cpu,700000,gzip-1,3165346.32104893,1.2096612115991965
1,cpu,800000,gzip-1,3233294.790161647,0.8875968992248061
1,cpu,900000,gzip-1,3301550.4313074667,1.063833859699493
1,cpu,1000000,gzip-1,3371900.9744351176,0.929730117714614
1,cpu,1100000,gzip-1,3437027.459981207,0.7376543209876543
1,cpu,1200000,gzip-1,3512913.813715385,0.7736146999712891
1,cpu,1300000,gzip-1,3585291.3392288582,0.8407503110345488
1,cpu,1400000,gzip-1,3658576.9488145136,0.6607330845056943
1,cpu,1500000,gzip-1,3733976.086616071,0.762465307684946
1,cpu,600000,gzip-5,3076023.2123969835,1.0538426138978372
1,cpu,700000,gzip-5,3171359.351078918,0.9023239760699492
1,cpu,800000,gzip-5,3241115.4451136277,0.7968016566958125
1,cpu,900000,gzip-5,3310389.1377129997,0.7067188219052001
1,cpu,1000000,gzip-5,3382016.7111351965,0.6375517717441326
1,cpu,1100000,gzip-5,3452599.5324722463,0.5818453750575242
1,cpu,1200000,gzip-5,3527304.691388145,0.5358720662678325
1,cpu,1300000,gzip-5,3600735.950874828,0.4978370915784629
1,cpu,1400000,gzip-5,3678091.2131437683,0.4651173492867005
1,cpu,1500000,gzip-5,3751134.383030774,0.4341233317993557
1,cpu,600000,gzip-9,3075967.671427073,1.0541974169741697
1,cpu,700000,gzip-9,3171645.0845166342,0.9075184501845016
1,cpu,800000,gzip-9,3241731.1750724525,0.7949031365313654
1,cpu,900000,gzip-9,3310291.4408375,0.7080719557195572
1,cpu,1000000,gzip-9,3382957.1970719164,0.6392988929889298
1,cpu,1100000,gzip-9,3452565.2234217804,0.5847094095940959
1,cpu,1200000,gzip-9,3527591.1838700385,0.5368311808118081
1,cpu,1300000,gzip-9,3600475.981791035,0.4998154981549814
1,cpu,1400000,gzip-9,3677405.0431431434,0.4643219557195572
1,cpu,1500000,gzip-9,3752314.284989201,0.4330488929889299
1,cpu,600000,hash,3075957.1969161974,1.0075757575757576
1,cpu,700000,hash,3171199.627054901,0.865702479338843
1,cpu,800000,hash,3242538.8325821906,0.7583677685950415
1,cpu,900000,hash,3313057.053755098,0.6736570247933884
1,cpu,1000000,hash,3384850.2817115,0.608987603305785
1,cpu,1100000,hash,3456015.3078866163,0.5524793388429753
1,cpu,1200000,hash,3531332.367690646,0.5075757575757578
1,cpu,1300000,hash,3607093.383450418,0.4709710743801653
1,cpu,1400000,hash,3685648.7862463603,0.4363636363636364
1,cpu,1500000,hash,3762651.229314819,0.4087809917355371
1,cpu,600000,idle,2855955.0,0.0
1,cpu,700000,idle,2899018.796992481,0.0
1,cpu,800000,idle,2926002.506265664,0.0
1,cpu,900000,idle,2951370.481927711,0.0
1,cpu,1000000,idle,2978583.583583584,0.0
1,cpu,1100000,idle,3003434.2928660824,0.0
1,cpu,1200000,idle,3031055.165496489,0.0
1,cpu,1300000,idle,3057185.0,0.0
1,cpu,1400000,idle,3084576.0,0.0
1,cpu,1500000,idle,3110947.0,0.0
2,cpu,600000,decrypt,3237196.7493450157,1.0005828304991773
2,cpu,700000,decrypt,3374115.893736495,0.857835070396782
2,cpu,800000,decrypt,3475764.323022704,0.7514399341744378
2,cpu,900000,decrypt,3579804.5320192478,0.6675809105869447
2,cpu,1000000,decrypt,3687512.3888867907,0.6008639605046626
2,cpu,1100000,decrypt,3793017.5138587854,0.5461464618760287
2,cpu,1200000,decrypt,3904463.952957432,0.501371365880417
2,cpu,1300000,decrypt,4015870.569343771,0.4630416895227647
2,cpu,1400000,decrypt,4133044.765547077,0.4295803620405924
2,cpu,1500000,decrypt,4246684.667110604,0.4008502468458585
2,cpu,600000,encrypt,3234566.4381308258,1.0004115226337449
2,cpu,700000,encrypt,3370569.294413348,0.8574531321444903
2,cpu,800000,encrypt,3471822.549434126,0.7506172839506174
2,cpu,900000,encrypt,3574546.524410034,0.6666666666666666
2,cpu,1000000,encrypt,3680752.7401689477,0.6002057613168724
2,cpu,1100000,encrypt,3787561.585169812,0.5462277091906722
2,cpu,1200000,encrypt,3897512.629796993,0.5006858710562415
2,cpu,1300000,encrypt,4008093.833373814,0.4628257887517147
2,cpu,1400000,encrypt,4123574.9471122595,0.4296296296296297
2,cpu,1500000,encrypt,4236096.075589754,0.4015089163237312
2,cpu,600000,gzip-1,3286546.661907604,1.054766006316394
2,cpu,700000,gzip-1,3431673.8451053784,1.2096612115991965
2,cpu,800000,gzip-1,3540587.07405763,0.8875968992248061
2,cpu,900000,gzip-1,3651730.380687222,1.063833859699493
2,cpu,1000000,gzip-1,3765218.365286651,0.929730117714614
2,cpu,1100000,gzip-1,3870620.627096331,0.7376543209876543
2,cpu,1200000,gzip-1,3994772.4619342806,0.7736146999712891
2,cpu,1300000,gzip-1,4113397.6784577165,0.8407503110345488
2,cpu,1400000,gzip-1,4232577.897629027,0.6607330845056943
2,cpu,1500000,gzip-1,4357005.173232142,0.762465307684946
2,cpu,600000,gzip-5,3296091.424793967,1.0538426138978372
2,cpu,700000,gzip-5,3443699.9051653557,0.9023239760699492
2,cpu,800000,gzip-5,3556228.3839615914,0.7968016566958125
2,cpu,900000,gzip-5,3669407.7934982884,0.7067188219052001
2,cpu,1000000,gzip-5,3785449.838686809,0.6375517717441326
2,cpu,1100000,gzip-5,3901764.7720784103,0.5818453750575242
2,cpu,1200000,gzip-5,4023554.217279801,0.5358720662678325
2,cpu,1300000,gzip-5,4144286.9017496556,0.4978370915784629
2,cpu,1400000,gzip-5,4271606.4262875365,0.4651173492867005
2,cpu,1500000,gzip-5,4391321.766061548,0.4341233317993557
2,cpu,600000,gzip-9,3295980.342854146,1.0541974169741697
2,cpu,700000,gzip-9,3444271.3720407872,0.9075184501845016
2,cpu,800000,gzip-9,3557459.843879241,0.7949031365313654
2,cpu,900000,gzip-9,3669212.3997472893,0.7080719557195572
2,cpu,1000000,gzip-9,3787330.810560249,0.6392988929889298
2,cpu,1100000,gzip-9,3901696.153977478,0.5847094095940959
2,cpu,1200000,gzip-9,4024127.202243588,0.5368311808118081
2,cpu,1300000,gzip-9,4143766.9635820696,0.4998154981549814
2,cpu,1400000,gzip-9,4270234.086286287,0.4643219557195572
2,cpu,1500000,gzip-9,4393681.569978402,0.4330488929889299
2,cpu,600000,hash,3295959.393832395,1.0075757575757576
2,cpu,700000,hash,3443380.4571173205,0.865702479338843
2,cpu,800000,hash,3559075.1588987173,0.7583677685950415
2,cpu,900000,hash,3674743.6255824855,0.6736570247933884
2,cpu,1000000,hash,3791116.979839416,0.608987603305785
2,cpu,1100000,hash,3908596.3229071503,0.5524793388429753
2,cpu,1200000,hash,4031609.569884803,0.5075757575757578
2,cpu,1300000,hash,4157001.7669008356,0.4709710743801653
2,cpu,1400000,hash,4286721.572492721,0.4363636363636364
2,cpu,1500000,hash,4414355.458629638,0.4087809917355371
2,cpu,600000,idle,2855955.0,0.0
