howmany,island,frequency,task,meas_power,meas_time,pred_power,pred_time,time_error,power_error
1,cpu,600000,decrypt,3034626.1306532663,7.292,3570639.5226130653,7.292,0.0,17.663243143708478
1,cpu,700000,decrypt,3121603.0150753767,6.252000000000001,3789355.669324063,6.252000000000001,0.0,21.39133807290234
1,cpu,800000,decrypt,3183074.297188755,5.464,3954289.669958029,5.464,0.0,24.228632471771082
1,cpu,900000,decrypt,3247530.0601202403,4.8580000000000005,4136008.794697828,4.8580000000000005,0.0,27.358599247105715
1,cpu,1000000,decrypt,3311847.847847848,4.366,4311640.640640641,4.366,0.0,30.18836730203327
1,cpu,1100000,decrypt,3374069.0,3.976,4485973.121401753,3.976,0.0,32.95439783246144
1,cpu,1200000,decrypt,3436134.1341341343,3.656,4651371.04004707,3.656,0.0,35.36639893771671
1,cpu,1300000,decrypt,3501013.013013013,3.366,4832497.052052053,3.366,0.0,38.03139360208058
1,cpu,1400000,decrypt,3564722.44488978,3.124,5005161.779559121,3.124,0.0,40.40817642715177
1,cpu,1500000,decrypt,3630508.016032064,2.92,5189191.064128256,2.92,0.0,42.93291851204183
1,cpu,600000,encrypt,3033063.3165829144,7.289999999999999,3564388.266331658,7.289999999999999,0.0,17.517766505030973
1,cpu,700000,encrypt,3120981.9095477387,6.24,3786871.2472135113,6.24,0.0,21.335892259698056
1,cpu,800000,encrypt,3180473.3668341707,5.472,3943885.9485396906,5.472,0.0,24.0031119161805
1,cpu,900000,encrypt,3244949.849548646,4.859999999999999,4125687.95241145,4.859999999999999,0.0,27.141809386832584
1,cpu,1000000,encrypt,3308647.5903614457,4.372000000000001,4298839.610695031,4.372000000000001,0.0,29.92739460129127
1,cpu,1100000,encrypt,3370079.079079079,3.98,4470013.437718069,3.98,0.0,32.63823586417333
1,cpu,1200000,encrypt,3433478.0,3.65,4640746.503510533,3.65,0.0,35.16167872665947
1,cpu,1300000,encrypt,3498623.6236236235,3.374,4822939.494494494,3.374,0.0,37.852481813955144
1,cpu,1400000,encrypt,3561848.848848849,3.1279999999999992,4993667.395395395,3.1279999999999992,0.0,40.19874529513779
1,cpu,1500000,encrypt,3626981.0,2.9240000000000004,5175083.0,2.9240000000000004,0.0,42.68293658003723
1,cpu,600000,gzip-1,3068930.7228915663,6.965999999999999,3707857.8915662654,6.965999999999999,0.0,20.819211196553102
1,cpu,700000,gzip-1,3165764.0562249,5.994,3965999.833922156,5.994,0.0,25.277808563267314
1,cpu,800000,gzip-1,3235627.2545090183,5.218,4164501.499239081,5.218,0.0,28.707702453539024
1,cpu,900000,gzip-1,3305825.301204819,4.648,4369189.759036144,4.648,0.0,32.16638391156902
1,cpu,1000000,gzip-1,3375480.0,4.18,4566169.249249248,4.18,0.0,35.274664618046856
1,cpu,1100000,gzip-1,3444562.124248497,3.804,4767945.618395742,3.804,0.0,38.419498514226056
1,cpu,1200000,gzip-1,3516609.609609609,3.4880000000000004,4973272.941948969,3.4880000000000004,0.0,41.422378200833876
1,cpu,1300000,gzip-1,3587025.025025025,3.224,5176545.1001001,3.224,0.0,44.31304671658893
1,cpu,1400000,gzip-1,3658441.0,2.992,5380036.0,2.992,0.0,47.0581594728465
1,cpu,1500000,gzip-1,3731987.987987988,2.794,5595110.951951953,2.794,0.0,49.923069687274705
1,cpu,600000,gzip-5,3074341.137123746,7.243333333333333,3729499.548494984,7.243333333333333,0.0,21.310530684443922
1,cpu,700000,gzip-5,3172040.066777963,6.2,3991103.876134409,6.2,0.0,25.821357615713207
1,cpu,800000,gzip-5,3243991.983967936,5.438000000000001,4197960.417074753,5.438000000000001,0.0,29.407237681887132
1,cpu,900000,gzip-5,3316122.244488978,4.832,4410377.532172779,4.832,0.0,32.99803828107755
1,cpu,1000000,gzip-5,3384843.0,4.354,4603621.249249248,4.354,0.0,36.0069358977432
1,cpu,1100000,gzip-5,3455797.7977977977,3.948,4812888.312592943,3.948,0.0,39.2699629492197
1,cpu,1200000,gzip-5,3528005.005005005,3.626,5018854.523530552,3.626,0.0,42.25757946518085
1,cpu,1300000,gzip-5,3601053.053053053,3.346,5232657.212212212,3.346,0.0,45.30908417958044
1,cpu,1400000,gzip-5,3673516.0,3.104,5440336.0,3.104,0.0,48.09615637988238
1,cpu,1500000,gzip-5,3746569.5695695695,2.902,5653437.278278278,2.902,0.0,50.89636461569248
1,cpu,600000,gzip-9,3073500.834724541,7.226666666666667,3726138.3388981633,7.226666666666667,0.0,21.23433632423641
