howmany,island,frequency,task,power,time
1,cpu,299999,cachekiller,2285582.6666666665,1.8844268699348483
1,cpu,399999,cachekiller,2316232.2666666666,1.826161618867279
1,cpu,599999,cachekiller,2339315.2333333334,1.7829808943301586
1,cpu,1199999,cachekiller,2403190.3,1.6030340905488636
1,cpu,299999,cacherate-0,2183035.0,1.026254779740994
1,cpu,399999,cacherate-0,2203243.966666667,0.7553576979213613
1,cpu,599999,cacherate-0,2232060.7,0.4794693205063919
1,cpu,1199999,cacherate-0,2327053.3,0.2077328262038793
1,cpu,299999,cacherate-100,2285563.6333333333,1.856557734164329
1,cpu,399999,cacherate-100,2315730.8666666667,1.4492954589625775
1,cpu,599999,cacherate-100,2339371.3666666667,1.4697628323709282
1,cpu,1199999,cacherate-100,2403397.4,1.4271382454376869
1,cpu,299999,cacherate-20,2254615.033333333,1.1494670558997055
1,cpu,399999,cacherate-20,2296061.5,0.8208500848900847
1,cpu,599999,cacherate-20,2355169.3,0.6528525238895048
1,cpu,1199999,cacherate-20,2447281.0666666664,0.6187230611781821
1,cpu,299999,cacherate-40,2292562.2333333334,1.2811295967217875
1,cpu,399999,cacherate-40,2328719.8,1.0480325148469174
1,cpu,599999,cacherate-40,2355836.3333333335,1.0455931595350727
1,cpu,1199999,cacherate-40,2418376.7333333334,1.0142037990159505
1,cpu,299999,cacherate-60,2289258.1,1.5224203937988523
1,cpu,399999,cacherate-60,2321832.0666666664,1.4066947778610022
1,cpu,599999,cacherate-60,2344403.4,1.3780356451478697
1,cpu,1199999,cacherate-60,2408432.2333333334,1.3493975020627236
1,cpu,299999,cacherate-80,2286915.9,1.9051797172384504
1,cpu,399999,cacherate-80,2317804.0,1.7276706729592537
1,cpu,599999,cacherate-80,2341086.6333333333,1.4419633527625193
1,cpu,1199999,cacherate-80,2405472.2,1.4739311320573254
1,cpu,299999,decrypt,2183095.533333333,1.0
1,cpu,399999,decrypt,2203086.533333333,0.7491042464181238
1,cpu,599999,decrypt,2230718.533333333,0.4823358942261627
1,cpu,1199999,decrypt,2324166.9333333336,0.2173102126751043
1,cpu,299999,encrypt,2182764.7666666666,1.0
1,cpu,399999,encrypt,2202893.4333333336,0.7503677422930418
1,cpu,599999,encrypt,2230270.533333333,0.4827539461326619
1,cpu,1199999,encrypt,2324042.6,0.2172759499111068
1,cpu,299999,gzip-1,2187251.7666666666,1.0536752046271212
1,cpu,399999,gzip-1,2208679.4,0.7735253379817785
1,cpu,599999,gzip-1,2241485.466666667,0.4982601788282427
1,cpu,1199999,gzip-1,2339719.1333333333,0.2407991684715767
1,cpu,299999,gzip-5,2186859.1666666665,1.0287554237076495
1,cpu,399999,gzip-5,2208016.8333333335,0.7661315827558777
1,cpu,599999,gzip-5,2240966.0,0.5055210101170508
1,cpu,1199999,gzip-5,2339122.5666666664,0.2587141090047903
1,cpu,299999,gzip-9,2186905.5666666664,1.0318497201311527
1,cpu,399999,gzip-9,2207869.2,0.7686758585135678
1,cpu,599999,gzip-9,2240855.1333333333,0.5120055803209966
1,cpu,1199999,gzip-9,2339303.6,0.2593664840186362
1,cpu,299999,hash,2184184.9333333336,1.0129588204675597
1,cpu,399999,hash,2205049.3,0.7449220914483804
1,cpu,599999,hash,2232960.3666666667,0.4748316159886991
1,cpu,1199999,hash,2320540.7,0.1979025276204409
1,cpu,299999,idle,1611400.0,0.0
1,cpu,399999,idle,1618454.0,0.0
1,cpu,599999,idle,1621317.0,0.0
1,cpu,1199999,idle,1636175.0,0.0
2,cpu,299999,cachekiller,2959765.333333333,1.8844268699348483
2,cpu,399999,cachekiller,3014010.533333333,1.826161618867279
2,cpu,599999,cachekiller,3057313.466666667,1.7829808943301586
2,cpu,1199999,cachekiller,3170205.5999999996,1.6030340905488636
2,cpu,299999,cacherate-0,2754670.0,1.026254779740994
2,cpu,399999,cacherate-0,2788033.9333333336,0.7553576979213613
2,cpu,599999,cacherate-0,2842804.4000000004,0.4794693205063919
2,cpu,1199999,cacherate-0,3017931.5999999996,0.2077328262038793
2,cpu,299999,cacherate-100,2959727.2666666666,1.856557734164329
2,cpu,399999,cacherate-100,3013007.7333333334,1.4492954589625775
2,cpu,599999,cacherate-100,3057425.7333333334,1.4697628323709282
2,cpu,1199999,cacherate-100,3170619.8,1.4271382454376869
2,cpu,299999,cacherate-20,2897830.0666666664,1.1494670558997055
2,cpu,399999,cacherate-20,2973669.0,0.8208500848900847
