howmany,island,frequency,task,meas_power,meas_time,pred_power,pred_time,time_error,power_error
1,cpu,299999,cachekiller,1809904.0,2.199189522668571,2405416.0,2.199189522668571,0.0,32.902960599015195
1,cpu,399999,cachekiller,1839414.0,2.3301384386142856,2502294.0,2.3301384386142856,0.0,36.03756413727415
1,cpu,599999,cachekiller,1873294.0,2.2419752266575004,2629225.0,2.2419752266575004,0.0,40.353035882248065
1,cpu,1199999,cachekiller,1950740.0,2.0145358382888885,2894435.0,2.0145358382888885,0.0,48.376257215210636
1,cpu,299999,cacherate-0,1642860.0,11.26677574044,1737240.0,11.26677574044,0.0,5.744859574157262
1,cpu,399999,cacherate-0,1659430.0,8.18918297086,1782358.0,8.18918297086,0.0,7.407844862392508
1,cpu,599999,cacherate-0,1684742.0,5.162291751919999,1875017.0,5.162291751919999,0.0,11.294014157657374
1,cpu,1199999,cacherate-0,1777749.0,2.1051785358066666,2202471.0,2.1051785358066666,0.0,23.890999235550126
1,cpu,299999,cacherate-100,1807259.0,2.310114019148572,2394836.0,2.310114019148572,0.0,32.51205278269468
1,cpu,399999,cacherate-100,1837986.0,2.28563462243,2496582.0,2.28563462243,0.0,35.83248185785964
1,cpu,599999,cacherate-100,1871113.0,2.0915212908422216,2620501.0,2.0915212908422216,0.0,40.050387122530815
1,cpu,1199999,cacherate-100,1949894.0,1.18831139639,2891051.0,1.18831139639,0.0,48.26708528771307
1,cpu,299999,cacherate-20,1726187.0,8.10212052561,2070548.0,8.10212052561,0.0,19.9492291391373
1,cpu,399999,cacherate-20,1765183.0,6.25088966499,2205370.0,6.25088966499,0.0,24.93718781565424
1,cpu,599999,cacherate-20,1829711.0,4.271259480754999,2454893.0,4.271259480754999,0.0,34.16834680449535
1,cpu,1199999,cacherate-20,2005998.0,2.301392547088571,3115467.0,2.301392547088571,0.0,55.30758255990285
1,cpu,299999,cacherate-40,1783465.0,4.237217779349999,2299660.0,4.237217779349999,0.0,28.943377077767156
1,cpu,399999,cacherate-40,1835400.0,3.26140998618,2486238.0,3.26140998618,0.0,35.46028113762667
1,cpu,599999,cacherate-40,1894273.0,2.280774004245714,2713141.0,2.280774004245714,0.0,43.228615938674096
1,cpu,1199999,cacherate-40,1968036.0,2.3028349338875005,2963619.0,2.3028349338875005,0.0,50.58764168948129
1,cpu,299999,cacherate-60,1809369.0,3.045484317,2403276.0,3.045484317,0.0,32.823984494041845
1,cpu,399999,cacherate-60,1842462.0,2.293333313642857,2514486.0,2.293333313642857,0.0,36.47423936016048
1,cpu,599999,cacherate-60,1880230.0,2.2921945818575,2656969.0,2.2921945818575,0.0,41.31085026831824
1,cpu,1199999,cacherate-60,1950861.0,2.134620942866667,2894919.0,2.134620942866667,0.0,48.39186390009335
1,cpu,299999,cacherate-80,1804278.7212787208,2.2924810600857146,2382914.8851148835,2.2924810600857146,0.0,32.07022047159511
1,cpu,399999,cacherate-80,1839538.0,2.3251397159425,2502790.0,2.3251397159425,0.0,36.055357377776375
1,cpu,599999,cacherate-80,1868133.0,2.195356720171111,2608581.0,2.195356720171111,0.0,39.63572186776852
1,cpu,1199999,cacherate-80,1950701.0,1.189431671908,2894279.0,1.189431671908,0.0,48.37122654881502
1,cpu,299999,decrypt,1645622.0,16.1255116555,1748288.0,16.1255116555,0.0,6.238735262411416
1,cpu,399999,decrypt,1660141.0,12.079689256799998,1785202.0,12.079689256799998,0.0,7.533155316325541
1,cpu,599999,decrypt,1695606.0,7.777913084210001,1918473.0,7.777913084210001,0.0,13.143796377224426
1,cpu,1199999,decrypt,1778573.0,3.379697388368,2205767.0,3.379697388368,0.0,24.018918537501694
1,cpu,299999,encrypt,1646125.0,16.055504117199998,1750300.0,16.055504117199998,0.0,6.328498747057483
1,cpu,399999,encrypt,1660118.0,12.0475323758,1785110.0,12.0475323758,0.0,7.529103352894192
1,cpu,599999,encrypt,1692255.0,7.58723480987,1905069.0,7.58723480987,0.0,12.575764290842692
